13	1	异世界的我开了挂
113	2	第一个客人
227	3	物理治疗还是开刀治疗？
327	4	眼珠两百，概不退换
428	5	作为医生，我必须对你负责
542	6	这是一种假象
631	7	手术完美完成
732	8	肚子不舒服，我再给你开刀
842	9	我给你整整容
973	10	黑店！黑店啊
1084	11	我的刀要适配您的肉
1182	12	那不就成一刀子买卖了吗？
1293	13	你再乱动我一枪崩了你
1400	14	顾客惊吓者
1502	15	为装x而生的左轮
1623	16	不行了，那就死外面吧
1752	17	治不好，吃掉
1881	18	可可爱爱的样子
2025	19	根源级怪物的牙医
2151	20	血锯药剂店的第一个会员
2256	21	限时诅咒清除能力
2382	22	家有鬼婴初养成
2488	23	这个世界就没个正常的
2591	24	我真的很美吗？
2704	25	最好不要抱有期待啊
2808	26	她不可能是我的女儿
2934	27	不！连我自己都不相信
3033	28	抱抱你的娃
3144	29	完美增幅的暴击药剂
3270	30	我秃了，也变强了
3388	31	我的暴击已经拉满了
3512	32	省下一大笔照明费
3616	33	以为谁不会闪似的
3738	34	那家店是超级黑店
3843	35	事迹败露
3942	36	公开处刑
4063	37	一刀就捅进去了啊
4184	38	其实我也很想配合你
4298	39	学废了！学废了
4397	40	结个婚生个娃什么的
4487	41	我身后有一堆人罩着的
4588	42	持续性攻略
4695	43	诅咒已经被我清除了
4809	44	那你觉得，我值多少钱？
4922	45	姐姐教你怎么实战
5049	46	他实在太用力了
5149	47	我爱萝
5272	48	uc震惊体
5373	49	也秃了啊
5471	50	你不会想把我药晕吧？
5578	51	好骗都已经写在脸上了
5681	52	要坏掉了
5797	53	可怕的血肉增生药剂
5924	54	新年大酬宾，剁一送一
6036	55	活到第二日黎明
6154	56	血肉傀儡，地狱行者
6299	57	竖眼与触手，全身变异
6429	58	最后底牌！无面魔的心脏
6554	59	最高优先级吞噬
6672	60	不是很好对付呢，嘻嘻
6782	61	你到底是有多么爱我？
6892	62	局势危机！同步进化
7018	63	这是一条非常灵活的舌头
7138	64	一切都不会结束的
7265	65	无法遏制！变异暴乱
7369	66	吃空！特殊的未知变异
7468	67	机能：血肉灾变
7576	68	奥利给，干了
7686	69	他是往里面硬灌啊
7799	70	就差那最后两公分
7913	71	今天咱俩必须得死一个
8056	72	为什么他会有两副面孔啊
8164	73	我都插了啊
8311	74	都在后院泡着呢
8419	75	暂时性和解
8542	76	怎么感觉声音有些熟悉
8694	77	猎杀者来袭
8805	78	神经元同步启动
